jobID,Calc,Real,Guess,pNFound,GuessDiff,CalcDiff
40025,20,51,1.95,0%,96%,61%
14049,30,69,1.95,0%,97%,57%
30510,47,75,1.95,0%,97%,37%
41476,15,94,1.95,0%,98%,84%
12640,197.6,137,1.95,0%,99%,44%
39729,6.5,1,2.08,11%,108%,550%
32829,3,2,2.17,14%,9%,50%
23200,5,8,2.08,14%,74%,38%
33970,3,1,2.08,14%,108%,200%
46022,5.5,3,2.17,17%,28%,83%
25527,14,5,2.08,17%,58%,180%
27059,9,10,2.08,17%,79%,10%
48272,40,8,2.12,20%,74%,400%
27378,5,20,2.26,20%,89%,75%
1288,25,50,2.24,20%,96%,50%
31547,4,2,2.22,25%,11%,100%
29555,36,3,2.15,25%,28%,1100%
26543,5,8,2.01,25%,75%,38%
10548,90,41,2.17,25%,95%,120%
22422,29.5,60,2.21,25%,96%,51%
38505,4,4,2.41,29%,40%,0%
29645,21,4,2.22,29%,45%,425%
26016,12,13,2.2,29%,83%,8%
1219,30,2,2.1,33%,5%,1400%
9887,2,2,2.45,33%,23%,0%
38661,4,3,2.28,33%,24%,33%
33580,21,4,2.25,33%,44%,425%
20773,15,7,2.33,33%,67%,114%
26544,7.5,7,2.2,33%,69%,7%
35590,2,8,2.24,33%,72%,75%
23482,40,10,2.24,33%,78%,300%
27837,9,13,2.17,33%,83%,31%
39947,22,18,2.08,33%,88%,22%
35854,4,1,2.08,33%,108%,300%
36330,1.5,1,2.08,33%,108%,50%
47284,7.5,1,2.08,33%,108%,650%
7363,1.5,1,2.13,33%,113%,50%
21741,6,1,2.26,33%,126%,500%
18192,5,6,2.92,35%,51%,17%
32764,3,3,2.19,40%,27%,0%
24846,3,4,1.74,40%,57%,25%
33595,14.5,8,2.38,40%,70%,81%
20531,15.5,11,3.15,40%,71%,41%
46267,32,7,1.66,40%,76%,357%
25240,43.5,1,2.27,40%,127%,4250%
41338,1,1,2.7,40%,170%,0%
23859,11,6,2.76,42%,54%,83%
31676,85,3,2.42,43%,19%,2733%
27606,17,5,2.37,43%,53%,240%
19767,180.27,130,201,43%,55%,39%
48204,1,1,2.4,43%,140%,0%
17014,3,6,7.67,44%,28%,50%
3444,16,12,3,44%,75%,33%
3733,64,2,2.08,50%,4%,3100%
14767,3,2,2.08,50%,4%,50%
2759,50,2,2.09,50%,4%,2400%
30465,2.5,2,2.54,50%,27%,25%
25640,4,3,2.15,50%,28%,33%
36768,2,2,2.57,50%,29%,0%
38709,20,4,2.86,50%,29%,400%
17031,7,3,2.13,50%,29%,133%
23912,5,2,2.59,50%,30%,150%
8011,3,3,2.08,50%,31%,0%
24735,3.5,3,2.08,50%,31%,17%
44882,42,4,2.24,50%,44%,950%
11467,20,4,2.17,50%,46%,400%
19226,4,4,2.17,50%,46%,0%
47719,2,4,2.17,50%,46%,50%
43215,15,4,2.12,50%,47%,275%
28779,2.5,6,2.35,50%,61%,58%
164,8,6,2.17,50%,64%,33%
1639,3,7,2.24,50%,68%,57%
7146,15,8,2.41,50%,70%,88%
42781,30,8,2.29,50%,71%,275%
4757,31,10,2.38,50%,76%,210%
985,41,10,2.17,50%,78%,310%
34224,11.5,15,3.23,50%,78%,23%
35543,90,2,3.63,50%,82%,4400%
5751,88,18,2.51,50%,86%,389%
30135,10,10,1.37,50%,86%,0%
25340,10,28,2.42,50%,91%,64%
37111,1,1,1.93,50%,93%,0%
2542,75.5,56,2.55,50%,95%,35%
20249,90,70,2.34,50%,97%,29%
21942,31,69,2.13,50%,97%,55%
17976,86,70,2.13,50%,97%,23%
26073,4,2,0,50%,100%,100%
44556,15,1,2.1,50%,110%,1400%
25641,1,1,2.19,50%,119%,0%
5275,25,1,2.24,50%,124%,2400%
29260,2.5,1,2.24,50%,124%,150%
36461,45,94,4.19,52%,96%,52%
13507,15,3,2.74,53%,9%,400%
12241,4,4,2.85,56%,29%,0%
44927,7.5,6,2.33,56%,61%,25%
37417,21,24,1.99,56%,92%,13%
40399,3,4,4.16,57%,4%,25%
26929,4,4,2.84,57%,29%,0%
35881,4,6,3.2,57%,47%,33%
24307,2.5,2,2.94,57%,47%,25%
8741,3.5,2,3.1,57%,55%,75%
25622,4,8,2.91,57%,64%,50%
22747,1,1,2.7,57%,170%,0%
41456,3,8,2.93,58%,63%,63%
17227,54,41,0.7,58%,98%,32%
44598,14,3,2.21,60%,26%,367%
40885,32,4,2.41,60%,40%,700%
34558,4.5,4,2.32,60%,42%,13%
21227,185.45,17,2.61,60%,85%,991%
17324,37.5,34,4.17,60%,88%,10%
27913,7,12,1.45,60%,88%,42%
2763,54.5,102,5.22,60%,95%,47%
47409,3.5,3,3.28,62%,9%,17%
7593,13,8,3.55,62%,56%,63%
5169,7.5,7,3.02,62%,57%,7%
17850,8,10,3.81,62%,62%,20%
39357,5,4,1.49,62%,63%,25%
3734,11,15,2.63,62%,82%,27%
9778,75,84,2.7,62%,97%,11%
48157,2,2,0,62%,100%,0%
27701,32,1,2.66,62%,166%,3100%
31689,23.88,4,15.83,62%,296%,497%
10982,40,31,25.44,63%,18%,29%
12259,2.5,2,3.73,64%,87%,25%
13181,2.5,2,9.56,64%,378%,25%
34465,27.5,11,4.6,65%,58%,150%
4663,15,3,3.1,67%,3%,400%
17712,20.5,3,3.1,67%,3%,583%
44809,8,2,1.93,67%,4%,300%
35461,3,3,2.81,67%,6%,0%
11026,3,3,3.3,67%,10%,0%
9633,2,4,3.4,67%,15%,50%
31033,3,3,2.54,67%,15%,0%
6831,3,3,2.51,67%,16%,0%
2050,3,5,5.87,67%,17%,40%
1004,14,2,2.35,67%,18%,600%
48783,11,2,2.38,67%,19%,450%
20376,1.5,3,2.32,67%,23%,50%
38199,20.5,2,2.57,67%,29%,925%
30270,14,9,5.8,67%,36%,56%
35664,2,1,0.63,67%,37%,100%
22028,1.5,2,2.81,67%,41%,25%
26063,2.5,3,4.25,67%,42%,17%
39725,36,6,3.31,67%,45%,500%
23802,12,2,2.9,67%,45%,500%
38589,1.5,5,2.75,67%,45%,70%
42195,11,2,3.11,67%,56%,450%
35159,5,12,3.58,67%,70%,58%
45692,10,11,3.26,67%,70%,9%
22174,8,16,4.72,67%,71%,50%
22918,14,63,15.5,67%,75%,78%
15731,11,15,3.61,67%,76%,27%
35338,12,23,4.91,67%,79%,48%
4258,2,17,2.19,67%,87%,88%
39884,57,15,1.91,67%,87%,280%
27233,30,28,1.06,67%,96%,7%
26975,15,4,0,67%,100%,275%
23746,14,6,0,67%,100%,133%
7038,80,1,2.57,67%,157%,7900%
25639,89.5,1,2.64,67%,164%,8850%
6684,7.5,16,2.4,68%,85%,53%
29490,2,2,3.06,69%,53%,0%
24431,21,41,4.9,69%,88%,49%
30534,48,34,2.31,69%,93%,41%
40846,38,6,2.6,70%,57%,533%
29217,2.5,4,3.28,71%,18%,38%
19477,1.73,2,2.7,71%,35%,14%
7856,3,2,2.96,71%,48%,50%
193,22.5,2,3.05,71%,53%,1025%
39540,10,8,3.23,71%,60%,25%
29298,2,2,3.22,71%,61%,0%
21338,21,10,3.34,71%,67%,110%
27385,5.5,10,3.14,71%,69%,45%
29663,2.5,4,8.96,71%,124%,38%
6795,7.5,1,3.08,71%,208%,650%
27340,55,2,1.92,72%,4%,2650%
2581,30,41,31.01,72%,24%,27%
20776,30.5,51,14.54,72%,71%,40%
24762,8,6,14.97,72%,150%,33%
18690,8.5,2,8.71,72%,336%,325%
19497,31,5,3.47,73%,31%,520%
26703,4.47,6,11.89,73%,98%,26%
32168,124,234,0,74%,100%,47%
43188,4,3,2.98,75%,1%,33%
1893,3,3,2.51,75%,16%,0%
43662,4,2,2.39,75%,20%,100%
12586,3,2,2.6,75%,30%,50%
7769,4,4,2.6,75%,35%,0%
14216,4,4,5.45,75%,36%,0%
42371,4,4,5.58,75%,40%,0%
19631,2.5,5,2.81,75%,44%,50%
26072,5.5,8,4.17,75%,48%,31%
8106,5,5,2.49,75%,50%,0%
7066,14,5,2.33,75%,53%,180%
30913,2.5,2,3.13,75%,57%,25%
19444,3.5,6,2.55,75%,58%,42%
17441,4,5,2.06,75%,59%,20%
30724,7,11,3.92,75%,64%,36%
33353,45,19,31.66,75%,67%,137%
36771,19.5,12,2.66,75%,78%,63%
45394,5,2,3.56,75%,78%,150%
1946,25.5,17,2.9,75%,83%,50%
24605,25.5,21,2.97,75%,86%,21%
2615,4,17,2.14,75%,87%,76%
29315,2.5,56,3.11,75%,94%,96%
19535,30,36,1.17,75%,97%,17%
46396,3,2,4.33,75%,117%,50%
23283,2.5,1,2.38,75%,138%,150%
46199,1,1,2.6,75%,160%,0%
43828,8,2,8.8,75%,340%,300%
40959,4,6,4.71,77%,22%,33%
5389,4,31,7.43,77%,76%,87%
5512,25,46,2.91,77%,94%,46%
9379,72,75,4.12,77%,95%,4%
18271,15,24,27.43,78%,14%,38%
8993,21,26,17.34,78%,33%,19%
40173,15,11,6,78%,45%,36%
44664,15,6,3.26,78%,46%,150%
38860,5,4,5.85,78%,46%,25%
19703,2.5,8,4.12,78%,49%,69%
14096,95,107,25.79,78%,76%,11%
31157,19,4,7.48,78%,87%,375%
1859,20,5,0,78%,100%,300%
16102,6,2,4.12,78%,106%,200%
22302,70,59,71.85,79%,22%,19%
39527,22,236,164.03,79%,30%,91%
9227,61,13,7.82,79%,40%,369%
25368,12,9,13.22,79%,47%,33%
777,8,12,4.33,79%,64%,33%
24408,41.5,25,6.85,79%,73%,66%
14511,40.65,65,3.52,79%,95%,37%
32218,3,3,3.01,80%,0%,0%
41279,7,3,2.92,80%,3%,133%
10185,3.5,3,2.81,80%,6%,17%
42820,5,2,2.45,80%,23%,150%
9912,3.5,3,3.78,80%,26%,17%
5350,2.5,2,2.67,80%,34%,25%
46423,7.5,2,2.81,80%,41%,275%
39909,6,6,3.11,80%,48%,0%
