jobID,Real,Guess,Calc,pFound,len
54005,48.0,50.76,28.5,0.2,30
59548,5.0,1.64,10.0,0.75,4
59606,8.0,3.92,23.0,0.1,31
59614,11.5,0.0,10.0,0.0,7
28064,740.5,259.344,270.0,0.23,230
59653,30.5,0.0,1.0,0.0,2
58489,16.0,149.44,75.0,0.24,59
59683,227.5,216.88,31.5,0.39,114
40876,30.5,14.02,30.5,0.2,41
59735,22.0,41.88,22.5,0.08,24
59742,9.0,0.0,13.5,0.0,9
59744,4.0,0.0,22.0,0.0,2
59750,10.5,13.064,8.5,0.11,19
44638,54.0,45.83,39.0,0.31,68
59772,11.0,18.624,73.65,0.52,21
59798,10.0,2.96,9.0,0.06,16
59799,184.0,140.02,102.0,0.25,228
59812,2.5,0.34,1.0,0.08,12
44548,271.5,109.44,134.5,0.27,70
59832,29.0,0.0,20.0,0.0,1
59859,46.8,8.52,50.0,0.09,11
43181,29.0,10.56,22.46,0.29,48
59875,66.5,0.0,1.0,0.0,17
59877,3.5,3.08,46.15,0.5,12
45083,14.5,477.0,208.0,0.29,24
59878,1.0,0.0,15.59,0.0,2
59904,28.0,30.74,30.0,0.43,42
59981,8.5,3.96,7.5,0.07,15
60055,4.0,0.0,3.0,0.0,2
47460,4.0,1.62,3.0,0.05,22
43955,37.0,6.49,19.5,0.54,26
34227,21.0,9.26,220.0,0.75,12
60201,4.0,0.34,4.0,0.5,2
47858,17.0,13.68,49.0,0.71,17
47737,4.0,0.34,25.5,0.5,4
38573,36.0,18.504,48.0,0.26,47
13434,94.5,94.313,80.65,0.3,61
55897,55.5,5.62,33.0,0.04,46
60374,7.5,1.22,8.0,0.25,16
28254,122.0,6.66,100.0,0.67,3
60383,3.0,0.0,20.0,0.0,7
60447,231.5,21.84,70.0,0.1,39
44823,41.0,27.77,25.0,0.37,41
55451,9.0,10.84,9.0,0.26,19
39068,66.5,88.62,149.3,0.55,20
60470,8.0,9.32,6.0,0.5,6
60478,29.5,66.0,53.0,0.35,74
46276,258.5,33.6,56.0,0.1,91
60569,3.5,3.78,2.0,0.33,6
45745,170.0,162.68,103.0,0.25,142
60616,8.0,0.6,8.0,0.14,14
60622,2.0,0.0,266.62,0.0,6
37417,26.5,0.0,21.0,0.0,9
60661,95.5,68.94,22.0,0.33,75
60663,2.5,0.64,15.0,0.29,7
60706,15.5,2.96,42.0,0.06,17
45349,104.5,23.9,25.0,0.18,88
60726,24.0,36.9,3.0,0.24,74
60793,8.0,3.96,45.0,0.11,9
60804,2.0,0.0,15.0,0.0,6
48645,112.5,26.28,93.0,0.5,30
46650,18.0,54.44,11.5,0.22,27
60786,125.5,155.7,42.0,0.28,132
39357,4.0,0.0,35.0,0.0,9
60936,4.0,0.0,3.0,0.0,8
45292,29.0,7.58,16.0,0.26,23
60989,7.5,0.96,30.0,0.14,14
49468,138.5,49.64,31.0,0.11,135
46286,13.0,0.2,69.5,0.4,5
16492,263.0,14.36,331.5,0.08,26
61072,3.5,0.0,2.0,0.0,2
53277,4.0,0.0,5.0,0.0,3
61093,3.0,3.52,6.0,0.2,5
47656,39.0,66.632,22.0,0.25,60
60252,29.5,21.56,15.0,0.22,37
61139,210.0,153.0,106.0,0.04,94
48987,37.5,17.56,203.8,0.57,21
50003,50.5,132.48,61.5,0.34,50
61177,6.0,1.23,3.0,0.14,7
44596,2.0,1.62,2.5,0.12,8
48371,185.5,22.48,46.0,0.2,70
45394,20.0,17.62,5.0,0.14,51
61281,12.0,11.59,6.0,0.43,28
61306,7.5,2.34,5.0,0.06,18
61325,25.0,55.2,30.0,0.34,68
46843,86.5,43.28,27.0,0.22,120
61402,47.0,33.98,114.0,0.18,83
61427,179.5,67.96,180.0,0.09,47
26268,8.5,0.0,20.5,0.0,1
26184,510.5,60.8,886.0,0.53,74
61487,53.0,47.92,94.0,0.37,43
61505,11.0,67.536,51.0,0.58,43
61509,3.5,10.12,9.5,0.67,9
61551,6.0,0.82,3.5,0.11,9
59690,16.0,1.64,39.0,0.36,14
61577,4.0,1.04,9.0,0.12,8
61622,52.5,30.64,35.0,0.28,29
61639,1.0,0.0,3.5,0.0,1
44927,6.5,0.0,7.5,0.0,9
47005,7.5,0.0,9.0,0.0,7
61723,10.0,5.872,11.04,0.42,19
61740,2.0,0.0,15.0,0.0,2
61765,11.0,5.98,34.0,0.15,20
61779,6.0,0.0,2.5,0.0,5
61840,4.0,3.44,3.0,0.67,3
46959,22.0,5.72,20.0,0.11,28
61867,105.3,74.32,158.5,0.57,23
61927,33.5,6.44,20.0,0.3,40
61961,7.5,1.56,63.0,0.04,24
47407,16.0,2.22,50.0,0.09,11
8236,3.0,54.6,94.5,0.77,13
62056,34.5,12.38,20.92,0.35,37
44768,374.0,384.5,626.5,0.25,267
62155,12.0,0.0,10.0,0.0,2
45983,6.0,2.22,17.0,0.17,6
62164,57.0,24.78,26.0,0.18,51
62200,4.5,0.68,5.0,0.1,10
61454,40.5,2.76,2.0,0.06,53
62283,30.0,61.808,80.0,0.39,46
62336,1.5,1.62,2.5,0.33,3
62349,5.0,0.0,7.5,0.0,8
62351,24.5,0.0,5.0,0.0,1
62486,9.0,21.92,165.0,0.42,36
56196,57.5,,41.0,0.16,86
61613,10.0,0.0,1.5,0.0,7
62034,2.5,0.0,1.0,0.0,1
62573,14.0,0.0,6.0,0.0,12
62580,4.5,2.4,3.0,0.28,18
62655,2.5,2.96,3.0,0.5,2
62727,3.0,3.44,3.0,0.29,7
62765,7.5,0.0,20.0,0.0,2
62795,6.5,2.56,6.0,0.5,12
