jobID,Real,Guess,Calc,pFound,len
30546,3.0,9.89,7.5,1.0,9
56254,49.5,20.58,12.0,0.91,82
56259,4.0,0.0,8.0,0.73,11
56188,4.0,3.98,1.5,1.0,2
26821,39.0,165.66,296.75,0.97,30
56336,22.0,10.24,29.0,0.96,26
56353,4.5,3.85,1.5,0.0,1
41963,135.5,34.63,28.5,0.56,48
56460,148.0,75.26,20.0,0.94,128
56479,1.0,3.85,2.0,0.0,1
56481,1.0,21.13,3.5,0.67,3
56502,10.0,9.97,6.0,1.0,4
56534,8.5,8.53,3.0,1.0,26
56553,73.0,0.0,8.0,0.71,35
56557,27.0,64.89,16.0,0.91,53
56567,30.5,0.0,12.5,0.94,31
56570,147.0,101.82,140.0,0.9,117
56625,80.5,541.98,75.0,0.47,60
44723,2.0,0.0,16.5,0.5,4
48830,38.5,26.46,16.87,0.79,24
8214,110.0,2.7,30.0,0.71,7
56706,5.5,4.47,2.0,1.0,7
56724,3.0,3.78,1.0,1.0,5
56728,90.0,43.97,68.0,0.87,116
56748,5.0,1.97,9.0,1.0,17
46255,49.5,34.72,30.0,0.77,87
56799,58.5,86.06,48.5,0.93,43
55208,24.5,23.56,12.0,1.0,18
56851,8.0,17.29,4.0,0.82,11
56858,21.0,23.31,40.0,0.75,44
45535,49.0,3.77,49.15,0.75,8
56902,3.0,0.0,10.0,0.64,11
41417,188.0,100.19,33.0,0.68,99
56937,236.0,2.27,79.0,0.89,141
42781,8.0,4.95,30.0,0.5,4
56956,1.5,3.2,4.0,0.33,3
56972,13.0,10.26,4.0,0.56,9
56979,7.5,3.85,65.0,0.0,1
56982,3.0,0.0,272.22,0.33,9
24621,43.5,18.42,51.0,0.93,92
57003,24.0,9.4,27.0,0.76,17
57010,8.5,15.38,20.0,1.0,12
36944,28.5,86.21,13.0,0.57,23
57118,8.0,1.97,9.5,0.38,8
57146,5.0,37.07,3.0,0.77,22
57150,12.5,8.26,7.0,0.8,10
33324,59.0,3.85,63.0,0.0,1
57224,8.0,8.56,6.0,1.0,9
57226,276.0,26.6,238.0,0.9,48
57250,4.5,5.7,5.0,0.25,4
57265,50.5,65.15,80.0,0.65,52
4316,64.0,0.0,115.0,0.9,10
57318,49.5,46.71,5.0,0.85,33
57345,8.0,10.65,10.0,0.84,25
48882,11.5,3.39,4.0,0.55,11
47189,91.0,33.2,57.0,0.87,67
57378,300.5,159.79,249.0,0.9,248
40933,57.5,397.47,97.0,0.72,191
39862,45.5,43.66,23.0,1.0,60
57425,12.5,3.85,28.5,0.0,6
57431,2.0,3.16,846.0,1.0,2
27570,38.0,48.23,25.21,0.89,54
57470,7.5,6.9,2.0,1.0,23
45389,18.0,29.21,44.0,0.76,25
40053,187.0,52.58,112.0,0.87,102
57501,59.0,67.36,35.0,0.78,37
57571,21.5,0.0,15.0,0.44,9
57581,11.5,0.0,14.0,0.89,28
57582,10.5,11.61,7.5,0.88,16
57588,2.5,2.65,2.5,1.0,7
57599,5.0,0.0,2.5,0.44,9
15462,23.0,17.27,48.5,0.75,24
57589,4.5,11.58,1.0,1.0,9
57665,11.5,11.45,7.0,1.0,19
57669,50.5,21.21,75.0,0.61,54
57675,5.0,3.85,5.0,0.0,1
57676,14.0,8.26,12.0,0.83,29
57691,3.0,8.17,4.0,0.62,16
57693,5.5,19.57,45.0,1.0,7
48479,8.0,7.07,6.0,1.0,21
57760,28.0,5.08,53.5,0.78,9
57762,25.0,2.8,22.5,0.96,27
39175,45.0,35.81,112.0,1.0,2
57789,32.0,25.08,30.0,0.94,100
40311,207.5,52.67,380.0,0.84,68
57812,16.5,0.0,12.5,0.89,36
57865,21.0,2.48,12.5,0.38,8
57905,4.5,3.35,7.5,1.0,1
57940,3.0,0.0,2.0,0.67,9
57949,36.0,20.97,35.0,1.0,2
57961,13.0,3.85,3.0,0.0,2
29702,30.5,135.0,25.0,0.76,83
57995,51.0,33.05,40.0,0.94,64
29472,208.5,127.21,83.15,0.9,51
58067,6.08,3.85,8.0,0.0,1
37345,175.0,78.23,45.0,0.96,101
58107,8.65,5.55,7.5,0.89,37
46826,40.0,59.04,80.0,0.96,74
22422,60.15,0.0,29.5,0.25,8
58145,26.5,21.23,35.0,0.82,33
45962,10.5,40.12,24.0,0.89,35
58192,1.0,3.85,7.5,0.0,1
58200,11.0,16.21,10.0,0.43,7
40336,246.5,129.29,176.0,0.78,161
47078,7.0,10.4,7.0,1.0,8
58307,2.0,2.69,140.56,0.87,15
48783,2.0,2.1,11.0,0.67,3
58328,10.0,18.96,6.0,0.92,25
58334,81.5,31.37,65.65,0.88,75
24459,45.0,196.85,224.0,0.82,146
47421,55.0,3.85,37.5,0.0,6
