jobID,Real,Guess,Calc,pFound,len
30546,3.0,14.9,7.5,1.0,9
56254,49.5,21.65,12.0,0.91,82
56259,4.0,0.0,8.0,0.73,11
56188,4.0,4.0,1.5,1.0,2
26821,39.0,198.66,296.75,0.97,30
56336,22.0,0.23,29.0,0.96,26
56353,4.5,3.21,1.5,0.0,1
41963,135.5,53.52,28.5,0.56,48
56460,148.0,160.82,20.0,0.94,128
56479,1.0,3.21,2.0,0.0,1
56481,1.0,35.07,3.5,0.67,3
56502,10.0,13.24,6.0,1.0,4
56534,8.5,8.53,3.0,1.0,26
56553,73.0,34.83,8.0,0.71,35
56557,27.0,0.0,16.0,0.91,53
56567,30.5,0.0,12.5,0.94,31
56570,147.0,183.98,140.0,0.9,117
56625,80.5,694.85,75.0,0.47,60
44723,2.0,0.22,16.5,0.5,4
48830,38.5,9.45,16.87,0.79,24
8214,110.0,1.6,30.0,0.71,7
56706,5.5,5.5,2.0,1.0,7
56724,3.0,3.01,1.0,1.0,5
56728,90.0,90.45,68.0,0.87,116
56748,5.0,3.63,9.0,1.0,17
46255,49.5,110.83,30.0,0.77,87
56799,58.5,45.3,48.5,0.93,43
55208,24.5,23.44,12.0,1.0,18
56851,8.0,28.05,4.0,0.82,11
56858,21.0,58.1,40.0,0.75,44
45535,49.0,1.12,49.15,0.75,8
56902,3.0,0.0,10.0,0.64,11
41417,188.0,95.91,33.0,0.68,99
56937,236.0,22.76,79.0,0.89,141
42781,8.0,3.96,30.0,0.5,4
56956,1.5,3.97,4.0,0.33,3
56972,13.0,6.89,4.0,0.56,9
56979,7.5,3.21,65.0,0.0,1
56982,3.0,0.0,272.22,0.33,9
24621,43.5,0.0,51.0,0.93,92
57003,24.0,6.69,27.0,0.76,17
57010,8.5,4.43,20.0,1.0,12
36944,28.5,131.32,13.0,0.57,23
57118,8.0,1.37,9.5,0.38,8
57146,5.0,22.74,3.0,0.77,22
57150,12.5,9.13,7.0,0.8,10
33324,59.0,3.21,63.0,0.0,1
57224,8.0,5.43,6.0,1.0,9
57226,276.0,48.05,238.0,0.9,48
57250,4.5,6.36,5.0,0.25,4
57265,50.5,0.0,80.0,0.65,52
4316,64.0,0.0,115.0,0.9,10
57318,49.5,73.21,5.0,0.85,33
57345,8.0,24.6,10.0,0.84,25
48882,11.5,2.86,4.0,0.55,11
47189,91.0,61.06,57.0,0.87,67
57378,300.5,137.66,249.0,0.9,248
40933,57.5,300.29,97.0,0.72,191
39862,45.5,42.95,23.0,1.0,60
57425,12.5,3.21,28.5,0.0,6
57431,2.0,2.01,846.0,1.0,2
27570,38.0,77.29,25.21,0.89,54
57470,7.5,12.31,2.0,1.0,23
45389,18.0,22.98,44.0,0.76,25
40053,187.0,10.46,112.0,0.87,102
57501,59.0,29.07,35.0,0.78,37
57571,21.5,0.0,15.0,0.44,9
57581,11.5,0.0,14.0,0.89,28
57582,10.5,13.65,7.5,0.88,16
57588,2.5,2.64,2.5,1.0,7
57599,5.0,0.0,2.5,0.44,9
15462,23.0,19.75,48.5,0.75,24
57589,4.5,8.12,1.0,1.0,9
57665,11.5,11.48,7.0,1.0,19
57669,50.5,1.66,75.0,0.61,54
57675,5.0,3.21,5.0,0.0,1
57676,14.0,8.97,12.0,0.83,29
57691,3.0,9.8,4.0,0.62,16
57693,5.5,14.92,45.0,1.0,7
48479,8.0,3.94,6.0,1.0,21
57760,28.0,0.0,53.5,0.78,9
57762,25.0,16.88,22.5,0.96,27
39175,45.0,48.6,112.0,1.0,2
57789,32.0,0.0,30.0,0.94,100
40311,207.5,327.63,380.0,0.84,68
57812,16.5,0.0,12.5,0.89,36
57865,21.0,0.15,12.5,0.38,8
57905,4.5,3.54,7.5,1.0,1
57940,3.0,1.94,2.0,0.67,9
57949,36.0,25.19,35.0,1.0,2
57961,13.0,3.21,3.0,0.0,2
29702,30.5,316.22,25.0,0.76,83
57995,51.0,60.92,40.0,0.94,64
29472,208.5,177.34,83.15,0.9,51
58067,6.08,3.21,8.0,0.0,1
37345,175.0,317.83,45.0,0.96,101
58107,8.65,0.28,7.5,0.89,37
46826,40.0,0.0,80.0,0.96,74
22422,60.15,0.0,29.5,0.25,8
58145,26.5,8.16,35.0,0.82,33
45962,10.5,33.12,24.0,0.89,35
58192,1.0,3.21,7.5,0.0,1
58200,11.0,40.0,10.0,0.43,7
40336,246.5,77.33,176.0,0.78,161
47078,7.0,8.65,7.0,1.0,8
58307,2.0,7.59,140.56,0.87,15
48783,2.0,0.55,11.0,0.67,3
58328,10.0,23.39,6.0,0.92,25
58334,81.5,0.0,65.65,0.88,75
24459,45.0,322.07,224.0,0.82,146
47421,55.0,3.21,37.5,0.0,6
48475,22.0,12.94,55.0,0.79,14
58420,33.0,33.04,25.0,1.0,6
53978,64.0,67.21,47.0,0.78,40
58469,13.0,8.0,22.0,0.67,9
58491,31.5,70.46,40.0,0.74,104
58503,9.0,0.0,22.0,0.93,14
31122,20.0,43.48,13.8,0.92,37
58597,50.5,70.14,21.0,0.86,35
58642,10.0,60.63,10.0,0.83,12
58682,20.5,0.0,60.0,0.5,4
43704,20.5,51.81,65.0,0.85,26
48417,3.0,4.93,2.5,1.0,10
58760,55.0,23.06,27.0,0.85,33
58782,30.5,4.57,20.5,0.83,6
48157,2.0,17.61,2.0,0.62,8
58846,14.5,14.5,25.0,0.94,53
51371,17.0,0.0,10.0,0.62,8
58920,9.0,96.11,14.0,0.92,36
58992,53.0,0.0,13.5,0.9,29
58993,6.0,3.21,6.0,0.0,2
59008,68.5,142.79,29.5,0.92,84
48020,4.0,6.62,6.0,0.6,10
58241,73.5,73.43,52.0,1.0,67
51482,63.5,30.23,48.5,0.86,36
59088,2.0,2.72,2.0,0.33,3
59164,29.0,60.22,45.0,0.96,51
30580,24.5,31.28,28.5,1.0,13
58938,4.0,2.75,5.0,0.5,2
46242,28.5,73.31,33.74,0.8,55
56880,1.0,1.52,34.5,1.0,11
59244,33.0,6.26,10.0,0.72,18
59286,62.0,14.95,104.0,0.97,96
31157,9.0,14.59,19.0,0.89,19
48855,38.5,0.33,1.0,0.84,19
59319,2.0,0.0,6.0,0.5,6
48812,22.0,0.0,46.17,0.76,21
59392,23.0,9.49,62.0,0.89,27
59421,9.5,12.14,5.0,1.0,18
59503,30.0,45.32,27.0,0.97,40
59516,2.0,3.21,3.0,0.0,3
54005,48.0,0.0,28.5,0.9,30
59548,5.0,5.55,10.0,1.0,4
59606,8.0,34.44,23.0,0.94,31
59614,11.5,2.93,10.0,1.0,7
28064,740.5,326.26,270.0,0.73,230
59653,30.5,27.6,1.0,1.0,2
58489,16.0,0.0,75.0,0.86,59
59683,227.5,267.7,31.5,0.96,114
40876,30.5,0.63,30.5,0.9,41
59735,22.0,0.0,22.5,0.67,24
59742,9.0,0.8,13.5,0.56,9
59744,4.0,3.21,22.0,0.0,2
59750,10.5,16.86,8.5,0.63,19
44638,54.0,121.32,39.0,0.93,68
59772,11.0,8.54,73.65,1.0,21
59798,10.0,13.45,9.0,1.0,16
59799,184.0,175.41,102.0,0.93,228
59812,2.5,0.0,1.0,0.83,12
44548,271.5,162.37,134.5,0.87,70
59832,29.0,3.21,20.0,0.0,1
59859,46.8,2.99,50.0,0.73,11
43181,29.0,0.0,22.46,0.88,48
59875,66.5,0.0,1.0,0.71,17
59877,3.5,0.0,46.15,0.83,12
45083,14.5,202.93,208.0,0.88,24
59878,1.0,0.0,15.59,0.5,2
59904,28.0,68.19,30.0,1.0,42
59981,8.5,8.46,7.5,1.0,15
60055,4.0,3.21,3.0,0.0,2
47460,4.0,0.0,3.0,0.86,22
43955,37.0,11.29,19.5,0.88,26
34227,21.0,17.63,220.0,1.0,12
60201,4.0,4.42,4.0,1.0,2
47858,17.0,12.46,49.0,1.0,17
47737,4.0,16.5,25.5,1.0,4
38573,36.0,0.0,48.0,0.98,47
13434,94.5,91.77,80.65,0.87,61
55897,55.5,0.0,33.0,0.83,46
60374,7.5,11.69,8.0,0.56,16
28254,122.0,88.42,100.0,1.0,3
60383,3.0,0.32,20.0,0.57,7
60447,231.5,38.33,70.0,0.85,39
